fn,total ops,total mult,dram total,dram limb rd,dram limb wr,dram key rd,"total cycles (slow, worst case)","total cycles (slow, best case)",funits,logq,dnum,cache_size,ewe_energy,dram_energy,sram_area,ewe_area,total_energy,total_area
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1932377636.0,1932377636.0,10,47,6,7700480,1.452720834843906,44.202578673664,211581,145152,45.65529950850791,356733
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1756715835.2727275,1756715835.2727275,11,47,6,7700480,1.452720834843906,44.202578673664,211581,159668,45.65529950850791,371249
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1610331001.3333335,1610331001.3333335,12,47,6,7700480,1.452720834843906,44.202578673664,211581,174183,45.65529950850791,385764
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1486466911.0769231,1486466911.0769231,13,47,6,7700480,1.452720834843906,44.202578673664,211581,188698,45.65529950850791,400279
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1380297690.857143,1380297690.857143,14,47,6,7700480,1.452720834843906,44.202578673664,211581,203213,45.65529950850791,414794
bootstrap,158682316800,70244106240,86333161472.0,27710947328.0,16702341120.0,41919873024.0,1288284366.6666665,1288284366.6666665,15,47,6,7700480,1.452720834843906,44.202578673664,211581,217728,45.65529950850791,429309
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,1009317984.8,1009317984.8,10,48,2,16515072,0.7801722871905031,17.984907116544,488658,145152,18.765079403734504,633810
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,917566542.1818182,917566542.1818182,11,48,2,16515072,0.7801722871905031,17.984907116544,488658,159668,18.765079403734504,648326
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,841107006.6666667,841107006.6666667,12,48,2,16515072,0.7801722871905031,17.984907116544,488658,174183,18.765079403734504,662841
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,776410476.6153846,776410476.6153846,13,48,2,16515072,0.7801722871905031,17.984907116544,488658,188698,18.765079403734504,677356
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,720956308.0,720956308.0,14,48,2,16515072,0.7801722871905031,17.984907116544,488658,203213,18.765079403734504,691871
bootstrap,82934890496,37758173184,35126771712.0,15115223040.0,7126646784.0,12884901888.0,672896028.5333333,672896028.5333333,15,48,2,16515072,0.7801722871905031,17.984907116544,488658,217728,18.765079403734504,706386
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1248026270.4,1248026270.4,10,48,3,12582912,0.9555780285825064,24.877121667072,372314,145152,25.832699695654508,517466
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1134575113.4545455,1134575113.4545455,11,48,3,12582912,0.9555780285825064,24.877121667072,372314,159668,25.832699695654508,531982
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,1040032482.6666666,1040032482.6666666,12,48,3,12582912,0.9555780285825064,24.877121667072,372314,174183,25.832699695654508,546497
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,960034872.0,960034872.0,13,48,3,12582912,0.9555780285825064,24.877121667072,372314,188698,25.832699695654508,561012
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,891465491.4285715,891465491.4285715,14,48,3,12582912,0.9555780285825064,24.877121667072,372314,203213,25.832699695654508,575527
bootstrap,102538018816,46233026560,48588128256.0,18914476032.0,9697492992.0,19976159232.0,832038694.9333334,832038694.9333334,15,48,3,12582912,0.9555780285825064,24.877121667072,372314,217728,25.832699695654508,590042
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1465939983.1999998,1465939983.1999998,10,48,4,10223616,1.1142084318412184,31.328028327936,302489,145152,32.44223675977722,447641
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1332679527.6363635,1332679527.6363635,11,48,4,10223616,1.1142084318412184,31.328028327936,302489,159668,32.44223675977722,462157
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1221629148.0,1221629148.0,12,48,4,10223616,1.1142084318412184,31.328028327936,302489,174183,32.44223675977722,476672
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1127663442.1538465,1127663442.1538465,13,48,4,10223616,1.1142084318412184,31.328028327936,302489,188698,32.44223675977722,491187
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,1047121408.5714284,1047121408.5714284,14,48,4,10223616,1.1142084318412184,31.328028327936,302489,203213,32.44223675977722,505702
bootstrap,120426725376,53894971392,61187555328.0,22034251776.0,12046565376.0,27106738176.0,977318312.7999998,977318312.7999998,15,48,4,10223616,1.1142084318412184,31.328028327936,302489,217728,32.44223675977722,520217
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1660850560.0,1660850560.0,10,48,5,8650752,1.2542884475907643,37.5272767488,255970,145152,38.781565196390765,401122
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1509872000.0,1509872000.0,11,48,5,8650752,1.2542884475907643,37.5272767488,255970,159668,38.781565196390765,415638
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1384056533.3333335,1384056533.3333335,12,48,5,8650752,1.2542884475907643,37.5272767488,255970,174183,38.781565196390765,430153
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1277597292.3076923,1277597292.3076923,13,48,5,8650752,1.2542884475907643,37.5272767488,255970,188698,38.781565196390765,444668
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1186346514.285714,1186346514.285714,14,48,5,8650752,1.2542884475907643,37.5272767488,255970,203213,38.781565196390765,459183
bootstrap,136426160128,60657893376,73295462400.0,24773394432.0,14284750848.0,34237317120.0,1107262506.6666667,1107262506.6666667,15,48,5,8650752,1.2542884475907643,37.5272767488,255970,217728,38.781565196390765,473698
